1000 is a False Positive, It has not been inserted
underscored is a False Positive, It has not been inserted
paragraphs is a true negative,it has never been inserted before
parent is a True Positive, It had been inserted
reflections--which is a true negative,it has never been inserted before
ballast is a True Positive, It had been inserted
romance--had is a true negative,it has never been inserted before
dashwood's is a true negative,it has never been inserted before
editorial is a true negative,it has never been inserted before
nowadays is a True Positive, It had been inserted
statement is a False Positive, It has not been inserted
up--language is a true negative,it has never been inserted before
you--that is a true negative,it has never been inserted before
compensation-- is a true negative,it has never been inserted before
dollar-a-column is a true negative,it has never been inserted before
emboldened is a True Positive, It had been inserted
spicy is a False Positive, It has not been inserted
_nom is a true negative,it has never been inserted before
plume_ is a False Positive, It has not been inserted
contributor is a False Positive, It has not been inserted
plunge is a True Positive, It had been inserted
frothy is a True Positive, It had been inserted
life-preserver is a true negative,it has never been inserted before
ducking is a true negative,it has never been inserted before
scribblers is a true negative,it has never been inserted before
banditti is a True Positive, It had been inserted
counts is a True Positive, It had been inserted
gypsies is a False Positive, It has not been inserted
nuns is a True Positive, It had been inserted
duchesses is a true negative,it has never been inserted before
accuracy is a False Positive, It has not been inserted
probability is a true negative,it has never been inserted before
lowest is a True Positive, It had been inserted
hacks is a True Positive, It had been inserted
wages is a True Positive, It had been inserted
emaciated is a true negative,it has never been inserted before
hoard is a True Positive, It had been inserted
pricks is a True Positive, It had been inserted
thrills is a True Positive, It had been inserted
harrowing is a true negative,it has never been inserted before
science is a True Positive, It had been inserted
records is a True Positive, It had been inserted
lunatic is a True Positive, It had been inserted
asylums is a true negative,it has never been inserted before
ransacked is a False Positive, It has not been inserted
underlies is a False Positive, It has not been inserted
supplying is a True Positive, It had been inserted
masterly is a True Positive, It had been inserted
searched is a True Positive, It had been inserted
incidents is a true negative,it has never been inserted before
crimes is a False Positive, It has not been inserted
librarians is a true negative,it has never been inserted before
poisons is a True Positive, It had been inserted
delved is a true negative,it has never been inserted before
fictions is a true negative,it has never been inserted before
opportunities is a True Positive, It had been inserted
prospering is a true negative,it has never been inserted before
desecrate is a true negative,it has never been inserted before
womanliest is a False Positive, It has not been inserted
unsubstantial is a True Positive, It had been inserted
premature is a true negative,it has never been inserted before
darker is a True Positive, It had been inserted
speculating is a true negative,it has never been inserted before
own,--a is a true negative,it has never been inserted before
wrong-doing is a true negative,it has never been inserted before
endowing is a true negative,it has never been inserted before
imperfections is a True Positive, It had been inserted
conversations is a True Positive, It had been inserted
him,--a is a true negative,it has never been inserted before
imposing is a False Positive, It has not been inserted
genial is a true negative,it has never been inserted before
oddities is a False Positive, It has not been inserted
benevolence is a True Positive, It had been inserted
wing is a True Positive, It had been inserted
curves is a true negative,it has never been inserted before
memorials is a False Positive, It has not been inserted
laughs is a True Positive, It had been inserted
underneath is a True Positive, It had been inserted
baggy is a true negative,it has never been inserted before
raspy is a False Positive, It has not been inserted
fellow-men is a true negative,it has never been inserted before
beautify is a True Positive, It had been inserted
dignify is a True Positive, It had been inserted
darned is a False Positive, It has not been inserted
intellect is a True Positive, It had been inserted
esteemed is a True Positive, It had been inserted
countryman is a True Positive, It had been inserted
divulged is a True Positive, It had been inserted
language-master is a true negative,it has never been inserted before
_entrée_ is a true negative,it has never been inserted before
celebrities is a true negative,it has never been inserted before
worshipped is a True Positive, It had been inserted
poet is a True Positive, It had been inserted
ethereal is a False Positive, It has not been inserted
devouring is a True Positive, It had been inserted
intellectual is a True Positive, It had been inserted
dispelled is a False Positive, It has not been inserted
illusions is a True Positive, It had been inserted
novelist is a False Positive, It has not been inserted
decanters is a False Positive, It has not been inserted
regularity is a true negative,it has never been inserted before
openly is a True Positive, It had been inserted
staëls is a true negative,it has never been inserted before
daggers is a True Positive, It had been inserted
corinne is a true negative,it has never been inserted before
satirizing is a true negative,it has never been inserted before
out-manœuvring is a true negative,it has never been inserted before
absorb is a true negative,it has never been inserted before
profound is a True Positive, It had been inserted
philosopher is a True Positive, It had been inserted
imbibed is a true negative,it has never been inserted before
johnsonianly is a true negative,it has never been inserted before
loquacity is a False Positive, It has not been inserted
rendering is a False Positive, It has not been inserted
scientific is a False Positive, It has not been inserted
mollusks is a true negative,it has never been inserted before
glacial is a False Positive, It has not been inserted
ices is a true negative,it has never been inserted before
orpheus is a True Positive, It had been inserted
specimen is a False Positive, It has not been inserted
completely is a true negative,it has never been inserted before
_désillusionée_ is a true negative,it has never been inserted before
philosophers is a True Positive, It had been inserted
hobby is a true negative,it has never been inserted before
ambling is a true negative,it has never been inserted before
tournament is a False Positive, It has not been inserted
comprehension is a true negative,it has never been inserted before
kant is a true negative,it has never been inserted before
hegel is a true negative,it has never been inserted before
gods is a True Positive, It had been inserted
subjective is a true negative,it has never been inserted before
objective is a False Positive, It has not been inserted
unintelligible is a true negative,it has never been inserted before
evolved is a true negative,it has never been inserted before
inner is a True Positive, It had been inserted
dawned is a true negative,it has never been inserted before
gradually is a False Positive, It has not been inserted
talkers is a true negative,it has never been inserted before
principles is a True Positive, It had been inserted
nothingness is a False Positive, It has not been inserted
metaphysics is a True Positive, It had been inserted
pleasurable is a true negative,it has never been inserted before
adrift is a true negative,it has never been inserted before
space is a True Positive, It had been inserted
grimmest is a true negative,it has never been inserted before
speculative is a True Positive, It had been inserted
intended is a true negative,it has never been inserted before
rely is a True Positive, It had been inserted
annihilated is a true negative,it has never been inserted before
diffident is a true negative,it has never been inserted before
opinions is a False Positive, It has not been inserted
pyrotechnics is a False Positive, It has not been inserted
inflammable is a true negative,it has never been inserted before
astray is a True Positive, It had been inserted
rockets is a true negative,it has never been inserted before
stick is a True Positive, It had been inserted
appealed is a True Positive, It had been inserted
truth,--an is a true negative,it has never been inserted before
argued is a True Positive, It had been inserted
beaten is a True Positive, It had been inserted
immortality is a True Positive, It had been inserted
out-talked is a true negative,it has never been inserted before
whit is a True Positive, It had been inserted
clap is a True Positive, It had been inserted
greatness is a True Positive, It had been inserted
defined is a true negative,it has never been inserted before
esteem is a True Positive, It had been inserted
soldier-cap is a true negative,it has never been inserted before
head-gear is a true negative,it has never been inserted before
wallenstein is a true negative,it has never been inserted before
schiller is a true negative,it has never been inserted before
absorbing is a true negative,it has never been inserted before
occupation is a True Positive, It had been inserted
cocked-hat is a true negative,it has never been inserted before
irresistible,-- is a true negative,it has never been inserted before
master's is a True Positive, It had been inserted
bass-viol is a True Positive, It had been inserted
disgust,-- is a true negative,it has never been inserted before
corpse is a True Positive, It had been inserted
viper is a True Positive, It had been inserted
displeasure is a True Positive, It had been inserted
offices is a True Positive, It had been inserted
moved is a True Positive, It had been inserted
prompt is a True Positive, It had been inserted
puddle is a True Positive, It had been inserted
threaded is a true negative,it has never been inserted before
gunpowder is a True Positive, It had been inserted
gathers is a true negative,it has never been inserted before
slits is a true negative,it has never been inserted before
whiskey is a true negative,it has never been inserted before
sugar-plum is a true negative,it has never been inserted before
crumpling is a False Positive, It has not been inserted
harmlessly is a true negative,it has never been inserted before
chimney is a True Positive, It had been inserted
hard-earned is a true negative,it has never been inserted before
face,-- is a true negative,it has never been inserted before
type is a True Positive, It had been inserted
re-read is a true negative,it has never been inserted before
short-sighted is a False Positive, It has not been inserted
eye-glasses is a true negative,it has never been inserted before
magnified is a true negative,it has never been inserted before
glared is a True Positive, It had been inserted
horribly is a True Positive, It had been inserted
afire is a True Positive, It had been inserted
jura is a true negative,it has never been inserted before
cinder is a true negative,it has never been inserted before
ashes is a True Positive, It had been inserted
meditation is a True Positive, It had been inserted
inconvenient is a True Positive, It had been inserted
guardians is a True Positive, It had been inserted
prison-walls is a true negative,it has never been inserted before
foundations is a True Positive, It had been inserted
stamp is a True Positive, It had been inserted
sherwood is a true negative,it has never been inserted before
essay is a True Positive, It had been inserted
masquerading is a true negative,it has never been inserted before
cumbrous is a true negative,it has never been inserted before
century is a True Positive, It had been inserted
didactic is a False Positive, It has not been inserted
gem is a True Positive, It had been inserted
markets is a True Positive, It had been inserted
purchaser is a true negative,it has never been inserted before
filthy is a True Positive, It had been inserted
lucre is a True Positive, It had been inserted
juvenile is a False Positive, It has not been inserted
convert is a True Positive, It had been inserted
depict is a False Positive, It has not been inserted
bulls is a True Positive, It had been inserted
sabbath-school is a False Positive, It has not been inserted
escorts is a False Positive, It has not been inserted
psalms is a true negative,it has never been inserted before
lisping is a True Positive, It had been inserted
corked is a true negative,it has never been inserted before
humility,-- is a true negative,it has never been inserted before
'sweep is a true negative,it has never been inserted before
street,' is a true negative,it has never been inserted before
bean-stalk is a true negative,it has never been inserted before
internal is a True Positive, It had been inserted
revolutions is a True Positive, It had been inserted
uneventful is a true negative,it has never been inserted before
inky is a True Positive, It had been inserted
dogged is a False Positive, It has not been inserted
occupying is a true negative,it has never been inserted before
foundation is a True Positive, It had been inserted
inconsolable is a true negative,it has never been inserted before
levee is a true negative,it has never been inserted before
warmly,-- is a true negative,it has never been inserted before
graduates is a true negative,it has never been inserted before
commencement is a True Positive, It had been inserted
cordially,-- is a true negative,it has never been inserted before
_heimweh_ is a true negative,it has never been inserted before
softness is a true negative,it has never been inserted before
roamed is a true negative,it has never been inserted before
reproaching is a true negative,it has never been inserted before
repress is a true negative,it has never been inserted before
towzled is a False Positive, It has not been inserted
seldom-used is a true negative,it has never been inserted before
rampant is a True Positive, It had been inserted
pipe is a True Positive, It had been inserted
substitutes is a True Positive, It had been inserted
winter's is a True Positive, It had been inserted
graduated is a true negative,it has never been inserted before
phillips is a true negative,it has never been inserted before
demosthenes is a true negative,it has never been inserted before
grandfather,--oh is a true negative,it has never been inserted before
proud!--mr is a False Positive, It has not been inserted
after-triumphs is a true negative,it has never been inserted before
'_hail is a False Positive, It has not been inserted
comes_,' is a False Positive, It has not been inserted
jews-harp is a true negative,it has never been inserted before
allayed is a True Positive, It had been inserted
appointed is a True Positive, It had been inserted
sip is a True Positive, It had been inserted
fortified is a True Positive, It had been inserted
_tête-à-tête_ is a true negative,it has never been inserted before
stalwart is a False Positive, It has not been inserted
looming is a False Positive, It has not been inserted
lover-like is a true negative,it has never been inserted before
far-away is a False Positive, It has not been inserted
subjects is a True Positive, It had been inserted
wells is a True Positive, It had been inserted
falling is a True Positive, It had been inserted
hastily,-- is a true negative,it has never been inserted before
imploring,-- is a true negative,it has never been inserted before
impetuosity is a True Positive, It had been inserted
steady,-- is a true negative,it has never been inserted before
understand-- is a true negative,it has never been inserted before
entrenching is a true negative,it has never been inserted before
undeniable is a true negative,it has never been inserted before
enough-- is a true negative,it has never been inserted before
controlled is a True Positive, It had been inserted
decapitated is a true negative,it has never been inserted before
buttercups is a False Positive, It has not been inserted
stile is a True Positive, It had been inserted
inelegantly is a true negative,it has never been inserted before
willow is a True Positive, It had been inserted
stile,-- is a true negative,it has never been inserted before
tone-- is a False Positive, It has not been inserted
violence is a True Positive, It had been inserted
devilish is a True Positive, It had been inserted
clenched is a False Positive, It has not been inserted
spark is a True Positive, It had been inserted
this,-- is a true negative,it has never been inserted before
abuse is a True Positive, It had been inserted
emphasize is a False Positive, It has not been inserted
unmanageable is a true negative,it has never been inserted before
lashes is a true negative,it has never been inserted before
sake,--how is a true negative,it has never been inserted before
sure!-- is a true negative,it has never been inserted before
expression,-- is a true negative,it has never been inserted before
marry,--no is a False Positive, It has not been inserted
wit's is a true negative,it has never been inserted before
view;' is a true negative,it has never been inserted before
before,-- is a true negative,it has never been inserted before
disappoint is a true negative,it has never been inserted before
expects is a True Positive, It had been inserted
useless is a False Positive, It has not been inserted
'yes' is a true negative,it has never been inserted before
it"--she is a true negative,it has never been inserted before
quarrel,--we is a true negative,it has never been inserted before
see,--and is a true negative,it has never been inserted before
prophetic is a True Positive, It had been inserted
us,--so is a False Positive, It has not been inserted
devil is a True Positive, It had been inserted
consoling is a true negative,it has never been inserted before
unclasped is a true negative,it has never been inserted before
outstrip is a True Positive, It had been inserted
murdered is a True Positive, It had been inserted
leaves,-- is a true negative,it has never been inserted before
insensibility is a False Positive, It has not been inserted
impetuosity's is a true negative,it has never been inserted before
successfully is a True Positive, It had been inserted
ramble is a true negative,it has never been inserted before
praises is a True Positive, It had been inserted
love's is a True Positive, It had been inserted
sonata is a true negative,it has never been inserted before
pathétique is a true negative,it has never been inserted before
gayer is a true negative,it has never been inserted before
livelier is a False Positive, It has not been inserted
stormily is a true negative,it has never been inserted before
calling,-- is a true negative,it has never been inserted before
groped is a False Positive, It has not been inserted
woman,-- is a true negative,it has never been inserted before
sharply,-- is a true negative,it has never been inserted before
mildness is a True Positive, It had been inserted
defiant is a true negative,it has never been inserted before
reckless is a True Positive, It had been inserted
grated is a False Positive, It has not been inserted
god's is a True Positive, It had been inserted
huskily,-- is a true negative,it has never been inserted before
brute is a True Positive, It had been inserted
but--you is a true negative,it has never been inserted before
know--grandfather-- is a true negative,it has never been inserted before
partners is a True Positive, It had been inserted
stifling is a False Positive, It has not been inserted
stoutly,-- is a true negative,it has never been inserted before
superannuated is a true negative,it has never been inserted before
marplot is a true negative,it has never been inserted before
gad is a True Positive, It had been inserted
howling is a True Positive, It had been inserted
closing is a True Positive, It had been inserted
oasis is a true negative,it has never been inserted before
spiritless is a True Positive, It had been inserted
individual is a True Positive, It had been inserted
iron is a True Positive, It had been inserted
cases is a True Positive, It had been inserted
irritable is a False Positive, It has not been inserted
guilt is a True Positive, It had been inserted
sufferers is a True Positive, It had been inserted
unrequited is a true negative,it has never been inserted before
superiority is a true negative,it has never been inserted before
fidelity is a True Positive, It had been inserted
unalterable is a true negative,it has never been inserted before
gayety is a true negative,it has never been inserted before
impose is a False Positive, It has not been inserted
solicitude is a true negative,it has never been inserted before
embraced is a True Positive, It had been inserted
straightened is a true negative,it has never been inserted before
stabbed is a True Positive, It had been inserted
startle is a True Positive, It had been inserted
sharpened is a True Positive, It had been inserted
paler is a True Positive, It had been inserted
thinner is a true negative,it has never been inserted before
transparent is a True Positive, It had been inserted
indescribably is a true negative,it has never been inserted before
savings is a true negative,it has never been inserted before
grandma is a true negative,it has never been inserted before
sea-breezes is a true negative,it has never been inserted before
preferring is a True Positive, It had been inserted
sympathetic is a true negative,it has never been inserted before
exists is a true negative,it has never been inserted before
thankful is a True Positive, It had been inserted
rocks is a True Positive, It had been inserted
winds is a True Positive, It had been inserted
tightened is a False Positive, It has not been inserted
weaker is a True Positive, It had been inserted
refusing is a True Positive, It had been inserted
laurie,--at is a true negative,it has never been inserted before
softly,-- is a true negative,it has never been inserted before
sometime is a True Positive, It had been inserted
tide is a True Positive, It had been inserted
piously is a False Positive, It has not been inserted
homilies is a true negative,it has never been inserted before
protestations is a True Positive, It had been inserted
strengthen is a True Positive, It had been inserted
weaned is a False Positive, It has not been inserted
closer is a True Positive, It had been inserted
serenity,-- is a true negative,it has never been inserted before
blindest is a true negative,it has never been inserted before
lapping is a true negative,it has never been inserted before
white-winged is a true negative,it has never been inserted before
gull is a True Positive, It had been inserted
sadness is a True Positive, It had been inserted
gray-coated is a true negative,it has never been inserted before
sand-bird is a true negative,it has never been inserted before
beach is a True Positive, It had been inserted
gulls is a True Positive, It had been inserted
me,--busy is a true negative,it has never been inserted before
quaker-colored is a true negative,it has never been inserted before
turtle-dove is a true negative,it has never been inserted before
flies is a True Positive, It had been inserted
dedicated is a True Positive, It had been inserted
des is a True Positive, It had been inserted
anglais,--a is a true negative,it has never been inserted before
bordered is a True Positive, It had been inserted
palms is a True Positive, It had been inserted
tropical is a False Positive, It has not been inserted
hotels is a False Positive, It has not been inserted
villas is a true negative,it has never been inserted before
orange-orchards is a true negative,it has never been inserted before
carnival is a true negative,it has never been inserted before
spaniards is a False Positive, It has not been inserted
russians is a False Positive, It has not been inserted
jews is a True Positive, It had been inserted
free-and-easy is a true negative,it has never been inserted before
saunter is a true negative,it has never been inserted before
criticising is a true negative,it has never been inserted before
celebrity is a False Positive, It has not been inserted
arrived,--ristori is a true negative,it has never been inserted before
victor is a True Positive, It had been inserted
emmanuel is a True Positive, It had been inserted
sandwich is a False Positive, It has not been inserted
equipages is a true negative,it has never been inserted before
attract is a True Positive, It had been inserted
basket-barouches is a true negative,it has never been inserted before
ponies is a true negative,it has never been inserted before
nets is a True Positive, It had been inserted
voluminous is a true negative,it has never been inserted before
flounces is a False Positive, It has not been inserted
diminutive is a True Positive, It had been inserted
vehicles is a False Positive, It has not been inserted
englishman is a True Positive, It had been inserted
american,--a is a true negative,it has never been inserted before
combination is a True Positive, It had been inserted
rose-colored is a true negative,it has never been inserted before
buff is a true negative,it has never been inserted before
inches is a True Positive, It had been inserted
blonde is a true negative,it has never been inserted before
jardin is a true negative,it has never been inserted before
publique is a False Positive, It has not been inserted
ponies' is a true negative,it has never been inserted before
containing is a True Positive, It had been inserted
scandalization is a true negative,it has never been inserted before
daughter's is a True Positive, It had been inserted
demoralized is a true negative,it has never been inserted before
beholding is a True Positive, It had been inserted
detained is a True Positive, It had been inserted
well--last is a true negative,it has never been inserted before
night--at is a False Positive, It has not been inserted
chauvain is a true negative,it has never been inserted before
flo's is a False Positive, It has not been inserted
parasol-whip is a False Positive, It has not been inserted
banker's is a False Positive, It has not been inserted
peacocks is a true negative,it has never been inserted before
boulevard is a true negative,it has never been inserted before
cross-streets is a true negative,it has never been inserted before
church is a True Positive, It had been inserted
st is a True Positive, It had been inserted
listlessly is a true negative,it has never been inserted before
priests is a True Positive, It had been inserted
canopies is a True Positive, It had been inserted
white-veiled is a true negative,it has never been inserted before
tapers is a True Positive, It had been inserted
brotherhood is a True Positive, It had been inserted
merry-faced is a true negative,it has never been inserted before
moody-looking is a true negative,it has never been inserted before
handsomer is a true negative,it has never been inserted before
spiritless,--not is a true negative,it has never been inserted before
prosperous is a True Positive, It had been inserted
paglioni is a true negative,it has never been inserted before
_que is a True Positive, It had been inserted
pensez is a true negative,it has never been inserted before
vous_ is a true negative,it has never been inserted before
quality is a True Positive, It had been inserted
_blasé_ is a true negative,it has never been inserted before
avigdor's is a true negative,it has never been inserted before
home-letters is a true negative,it has never been inserted before
hedges is a True Positive, It had been inserted
'stay;' is a true negative,it has never been inserted before
scribbling-suit is a true negative,it has never been inserted before
rampantly is a true negative,it has never been inserted before
burns is a True Positive, It had been inserted
alighted is a True Positive, It had been inserted
fort is a True Positive, It had been inserted
trooping is a True Positive, It had been inserted
tamely is a True Positive, It had been inserted
perplex is a True Positive, It had been inserted
overlooking is a True Positive, It had been inserted
affectations is a True Positive, It had been inserted
gained is a True Positive, It had been inserted
_aplomb_ is a False Positive, It has not been inserted
petulance is a true negative,it has never been inserted before
unspoiled is a true negative,it has never been inserted before
bright-faced is a true negative,it has never been inserted before
hue is a True Positive, It had been inserted
gloss is a True Positive, It had been inserted
plateau is a true negative,it has never been inserted before
crowns is a True Positive, It had been inserted
welcoming is a False Positive, It has not been inserted
there,-- is a true negative,it has never been inserted before
cathedral is a True Positive, It had been inserted
corso is a False Positive, It has not been inserted
fishermen is a True Positive, It had been inserted
dragging is a True Positive, It had been inserted
villa is a true negative,it has never been inserted before
franca is a true negative,it has never been inserted before
schubert's is a true negative,it has never been inserted before
corsica is a true negative,it has never been inserted before
island is a True Positive, It had been inserted
usurper is a True Positive, It had been inserted
seating is a False Positive, It has not been inserted
roved is a true negative,it has never been inserted before
greece is a True Positive, It had been inserted
idling is a False Positive, It has not been inserted
recorded is a True Positive, It had been inserted
prinked is a False Positive, It has not been inserted
tulle is a true negative,it has never been inserted before
toilettes is a False Positive, It has not been inserted
trinkets is a True Positive, It had been inserted
inexpensive is a true negative,it has never been inserted before
_coiffures_ is a true negative,it has never been inserted before
statuesque is a False Positive, It has not been inserted
classic is a true negative,it has never been inserted before
draperies is a False Positive, It has not been inserted
comeliness is a True Positive, It had been inserted
illusion is a True Positive, It had been inserted
hebe-like is a true negative,it has never been inserted before
fleecy is a False Positive, It has not been inserted
clusters is a True Positive, It had been inserted
azalea is a true negative,it has never been inserted before
matches is a True Positive, It had been inserted
_mouchoir_ is a true negative,it has never been inserted before
candle is a True Positive, It had been inserted
ran,--it is a true negative,it has never been inserted before
junoesque is a False Positive, It has not been inserted
sportive is a True Positive, It had been inserted
piquante is a true negative,it has never been inserted before
propitious is a true negative,it has never been inserted before
well-placed is a False Positive, It has not been inserted
diana is a True Positive, It had been inserted
apollo is a True Positive, It had been inserted
_debonnaire_ is a False Positive, It has not been inserted
ball-room is a true negative,it has never been inserted before
personable is a False Positive, It has not been inserted
'sot-bookay,' is a true negative,it has never been inserted before
cardiglia's is a true negative,it has never been inserted before
wrist is a True Positive, It had been inserted
bluntness is a True Positive, It had been inserted
_salle is a true negative,it has never been inserted before
manger_ is a true negative,it has never been inserted before
prejudice is a True Positive, It had been inserted
lustre is a True Positive, It had been inserted
prince is a True Positive, It had been inserted
condescended is a true negative,it has never been inserted before
hamlet's is a False Positive, It has not been inserted
bridle is a True Positive, It had been inserted
aged is a True Positive, It had been inserted
vaguely is a False Positive, It has not been inserted
seeking is a True Positive, It had been inserted
devour is a True Positive, It had been inserted
baron is a True Positive, It had been inserted
rothschild's is a true negative,it has never been inserted before
secretary is a True Positive, It had been inserted
large-nosed is a False Positive, It has not been inserted
jew is a True Positive, It had been inserted
jones is a true negative,it has never been inserted before
light-footed is a true negative,it has never been inserted before
shrill-voiced is a True Positive, It had been inserted
lifeless-looking is a true negative,it has never been inserted before
ditto is a true negative,it has never been inserted before
disported is a False Positive, It has not been inserted
grimmer is a true negative,it has never been inserted before
distinguished-looking is a true negative,it has never been inserted before
sparkle is a True Positive, It had been inserted
repair is a True Positive, It had been inserted
error is a True Positive, It had been inserted
divinely is a True Positive, It had been inserted
trifled is a True Positive, It had been inserted
pole is a true negative,it has never been inserted before
fair,' is a true negative,it has never been inserted before
decorously is a true negative,it has never been inserted before
cotillon is a true negative,it has never been inserted before
tarantula is a False Positive, It has not been inserted
securing is a True Positive, It had been inserted
penitence is a True Positive, It had been inserted
ball-book is a true negative,it has never been inserted before
polka-redowa is a true negative,it has never been inserted before
gallopaded is a true negative,it has never been inserted before
actual is a True Positive, It had been inserted
chaperon is a true negative,it has never been inserted before
sauntered is a true negative,it has never been inserted before
delightsome is a true negative,it has never been inserted before
pastime is a True Positive, It had been inserted
musicians is a True Positive, It had been inserted
fiddled is a true negative,it has never been inserted before
davises is a true negative,it has never been inserted before
joneses is a False Positive, It has not been inserted
gambolled is a False Positive, It has not been inserted
giraffes is a true negative,it has never been inserted before
meteor is a True Positive, It had been inserted
carpeted is a False Positive, It has not been inserted
teuton is a true negative,it has never been inserted before
supper-table is a true negative,it has never been inserted before
_garçons_ is a true negative,it has never been inserted before
ravages is a true negative,it has never been inserted before
committed is a True Positive, It had been inserted
emperor's is a True Positive, It had been inserted
pirouettes is a true negative,it has never been inserted before
india-rubber is a true negative,it has never been inserted before
coat-tails is a true negative,it has never been inserted before
agility is a False Positive, It has not been inserted
rhythmic is a true negative,it has never been inserted before
indefatigably is a true negative,it has never been inserted before
winged is a True Positive, It had been inserted
vladimir is a False Positive, It has not been inserted
relinquished is a true negative,it has never been inserted before
desolated is a true negative,it has never been inserted before
recreant is a True Positive, It had been inserted
three-and-twenty is a True Positive, It had been inserted
nerves is a True Positive, It had been inserted
subjected is a True Positive, It had been inserted
enchantment is a False Positive, It has not been inserted
waked-up is a False Positive, It has not been inserted
balzac's is a False Positive, It has not been inserted
'femme is a true negative,it has never been inserted before
peinte is a true negative,it has never been inserted before
par is a True Positive, It had been inserted
elle-même,' is a true negative,it has never been inserted before
fanned is a True Positive, It had been inserted
coffee-cup is a true negative,it has never been inserted before
pretty--new is a true negative,it has never been inserted before
dozens is a True Positive, It had been inserted
now--_stupide_ is a true negative,it has never been inserted before
lounge is a False Positive, It has not been inserted
trample is a True Positive, It had been inserted
quizzical is a False Positive, It has not been inserted
thing' is a False Positive, It has not been inserted
wickedly is a true negative,it has never been inserted before
well--the is a true negative,it has never been inserted before
self-possession is a true negative,it has never been inserted before
the--the--illusion--you is a true negative,it has never been inserted before
demurely is a True Positive, It had been inserted
polishes is a true negative,it has never been inserted before
this"--with is a true negative,it has never been inserted before
dress--"why is a true negative,it has never been inserted before
respecting is a True Positive, It had been inserted
_vive is a True Positive, It had been inserted
liberté_ is a true negative,it has never been inserted before
declaration is a true negative,it has never been inserted before
republican is a true negative,it has never been inserted before
zest is a true negative,it has never been inserted before
abdicate is a true negative,it has never been inserted before
throne is a True Positive, It had been inserted
seclusion is a true negative,it has never been inserted before
virtually is a False Positive, It has not been inserted
primitive is a true negative,it has never been inserted before
customs is a True Positive, It had been inserted
exclusion is a False Positive, It has not been inserted
tireless is a true negative,it has never been inserted before
mercies is a False Positive, It has not been inserted
wifely is a true negative,it has never been inserted before
supposing is a True Positive, It had been inserted
ignorance is a True Positive, It had been inserted
aisy is a true negative,it has never been inserted before
commons is a True Positive, It had been inserted
concert is a true negative,it has never been inserted before
wails is a True Positive, It had been inserted
presiding is a true negative,it has never been inserted before
half-helped is a true negative,it has never been inserted before
demi's is a true negative,it has never been inserted before
colic is a True Positive, It had been inserted
shipping-list is a true negative,it has never been inserted before
daisy's is a False Positive, It has not been inserted
stocks is a True Positive, It had been inserted
bereft is a True Positive, It had been inserted
hushing is a False Positive, It has not been inserted
brutal is a true negative,it has never been inserted before
precincts is a False Positive, It has not been inserted
babyland is a true negative,it has never been inserted before
amendment is a True Positive, It had been inserted
exiles is a true negative,it has never been inserted before
do,--tried is a true negative,it has never been inserted before
lullabies is a False Positive, It has not been inserted
performed is a True Positive, It had been inserted
chess-board is a true negative,it has never been inserted before
tempting is a True Positive, It had been inserted
fireside is a False Positive, It has not been inserted
neighbor's is a False Positive, It has not been inserted
dozing is a true negative,it has never been inserted before
teething is a true negative,it has never been inserted before
scorching is a False Positive, It has not been inserted
fender is a False Positive, It has not been inserted
unreasonable is a True Positive, It had been inserted
robs is a True Positive, It had been inserted
nerve is a True Positive, It had been inserted
muscle is a False Positive, It has not been inserted
incumbrances is a true negative,it has never been inserted before
lamentations is a True Positive, It had been inserted
discuss is a True Positive, It had been inserted
drooping is a True Positive, It had been inserted
widowed is a True Positive, It had been inserted
scotts' is a true negative,it has never been inserted before
hardest is a True Positive, It had been inserted
blames is a True Positive, It had been inserted
interruption is a True Positive, It had been inserted
motherhood is a False Positive, It has not been inserted
make,--forgotten is a true negative,it has never been inserted before
forgivable is a true negative,it has never been inserted before
unfitted is a False Positive, It has not been inserted
practicability is a true negative,it has never been inserted before
wean is a True Positive, It had been inserted
pursuits is a true negative,it has never been inserted before
sunshine-maker is a true negative,it has never been inserted before
likes,--talk is a False Positive, It has not been inserted
educate is a True Positive, It had been inserted
world's is a true negative,it has never been inserted before
affects is a True Positive, It had been inserted
multitude is a true negative,it has never been inserted before
scott's is a true negative,it has never been inserted before
preachment is a True Positive, It had been inserted
ruled is a True Positive, It had been inserted
kicking is a False Positive, It has not been inserted
squalling is a False Positive, It has not been inserted
caprices is a true negative,it has never been inserted before
subjugated is a true negative,it has never been inserted before
discipline is a True Positive, It had been inserted
obstreperous is a true negative,it has never been inserted before
inherited is a True Positive, It had been inserted
sire's is a False Positive, It has not been inserted
character,--we is a true negative,it has never been inserted before
obstinacy,--and is a true negative,it has never been inserted before
pertinacious is a true negative,it has never been inserted before
wrastle is a False Positive, It has not been inserted
parpar is a true negative,it has never been inserted before
love-pats is a true negative,it has never been inserted before
unconquerable is a true negative,it has never been inserted before
rampage is a true negative,it has never been inserted before
sleep-provoking is a true negative,it has never been inserted before
wile is a true negative,it has never been inserted before
byelow is a true negative,it has never been inserted before
chubby is a False Positive, It has not been inserted
discouragingly is a true negative,it has never been inserted before
hall-door is a False Positive, It has not been inserted
tiptoeing is a true negative,it has never been inserted before
cakies is a true negative,it has never been inserted before
bye-by is a true negative,it has never been inserted before
lovey is a true negative,it has never been inserted before
iss is a true negative,it has never been inserted before
duration is a False Positive, It has not been inserted
door-handle is a true negative,it has never been inserted before
impatiently,-- is a true negative,it has never been inserted before
